Ring;Year;Sex;Treatment;Nest;Date.1;Date.2;days_resample;Age.1;Age.2;avg_age;Weight.1;Weight.2;Wing.1;Wing.2;growth_rate;body_condition.1;body_condition.2;delta_body_condition;Lprev.1;Lprev.2;Lbinom.1;Lbinom.2
3414644;2016;Female;Control;NA;04/06/2016;22/06/2016;18;18.17070902;36.55588883;27.36329893;535;725;12.1;27.4;10.55555556;-48.0957119;-115.2003674;-67.1046555;1;4;1;1
3414650;2016;Male;Control;NA;05/06/2016;28/06/2016;23;14.96457605;38.06867553;26.51662579;380;665;8.5;27.8;12.39130435;-43.07201213;-67.80109261;-24.72908048;0;1;0;1
3414672;2016;Female;Control;NA;03/06/2016;28/06/2016;25;10.00480533;38.05395816;24.02938175;290;830;5.8;28.3;21.6;-61.78213507;-20.36668312;41.41545195;0;1;0;1
3414673;2016;Female;Control;NA;03/06/2016;28/06/2016;25;7.916876121;35.74095829;21.82891721;215;780;4.7;26.9;22.6;-70.63085164;-54.4071353;16.22371634;0;1;0;1
3414677;2016;Male;Control;NA;03/06/2016;23/06/2016;20;15.84914811;36.91699088;26.3830695;440;830;9.2;27.1;19.5;-3.757035783;103.8647324;107.6217682;0;1;0;1
3414680;2016;Male;Control;NA;03/06/2016;23/06/2016;20;12.83852702;32.30577233;22.57214968;295;635;7;24.1;17;-77.32324121;-60.46950841;16.85373281;0;0;0;0
3414681;2016;Male;Control;NA;03/06/2016;23/06/2016;20;14.01531943;33.4788185;23.74706896;405;745;7.8;24.9;17;4.391740513;40.99483027;36.60308975;0;0;0;0
3414706;2016;Female;Control;NA;04/06/2016;22/06/2016;18;16.50048391;34.15321622;25.32685007;560;880;10.5;25.9;17.77777778;21.51890669;57.50957802;35.99067133;0;NA;0;NA
3414707;2016;Female;Control;NA;04/06/2016;22/06/2016;18;17.45890313;33.84288499;25.65089406;640;870;11.4;25.7;12.77777778;75.64979345;49.94806785;-25.7017256;0;0;0;0
3414718;2016;Female;Control;NA;05/06/2016;23/06/2016;18;14.87472591;31.74327849;23.3090022;470;845;9.1;24.3;20.83333333;-23.46677503;42.56823583;66.03501086;0;3;0;1
3414719;2016;Male;Control;NA;05/06/2016;23/06/2016;18;19.02236155;35.79141269;27.40688712;580;760;12.1;26.4;10;64.62394602;40.70500986;-23.91893616;3;4;1;1
3414720;2016;Female;Control;NA;05/06/2016;29/06/2016;24;10.86506582;36.55588883;23.71047733;370;880;6.3;27.4;21.25;-7.793939899;39.7996326;47.5935725;0;1;0;1
3414721;2016;Female;Control;NA;05/06/2016;29/06/2016;24;9.278063968;35.74095829;22.50951113;300;765;5.4;26.9;19.375;-29.30374523;-69.4071353;-40.10339007;0;1;0;1
3414729;2016;Female;Control;NA;09/06/2016;22/06/2016;13;21.54497073;33.6886615;27.61681612;725;745;15.6;25.6;1.538461538;61.98453875;-73.82556174;-135.8101005;1;3;1;1
3414730;2016;Male;Control;NA;09/06/2016;21/06/2016;12;21.91652432;32.16223138;27.03937785;565;655;15.1;24;7.5;-8.269235053;-39.38268189;-31.11344684;1;4;1;1
3414735;2016;Male;Control;NA;09/06/2016;21/06/2016;12;24.69078195;38.23516009;31.46297102;615;680;17.9;27.9;5.416666667;-2.731771422;-53.73962647;-51.00785505;3;0;1;0
3414736;2016;Male;Control;NA;09/06/2016;21/06/2016;12;20.86751448;30.90186386;25.88468917;610;715;14;23.1;8.75;56.50097818;30.60763223;-25.89334595;4;1;1;1
3414737;2016;Male;Control;NA;09/06/2016;21/06/2016;12;14.7003845;26.30992321;20.50515386;440;765;8.3;19.4;27.08333333;23.15164857;126.2342522;103.0826036;3;2;1;1
3414751;2016;Male;Control;NA;05/06/2016;28/06/2016;23;16.09133359;40.60959417;28.35046388;440;750;9.4;29.3;13.47826087;-9.378357817;3.462923958;12.84128177;0;1;0;1
3414752;2016;Male;Control;NA;05/06/2016;24/06/2016;19;14.01531943;33.92982497;23.9725722;440;780;7.8;25.2;17.89473684;39.39174051;72.86447668;33.47273617;0;3;0;1
3414753;2016;Female;Control;NA;05/06/2016;21/06/2016;16;12.13982505;28.33056656;20.23519581;300;700;7.1;21.8;25;-115.3984943;-68.28073134;47.11776297;0;1;0;1
