Nest;Date;Year;Ring.no;Lprev;Lbinom;Weight;Wing;sampling_rank;Treatments;growth_rate;days_resample;sex;body_condition;delta_body_condition;Age_in_days;avg_age
NA;17/06/2016;2016;3414613;NA;NA;740;29.8;2;Control;-0.000673403218134407;10;Male;-10.9598786930655;-76.1332409921442;41.4737460053439;35.9168936121202
NA;07/06/2016;2016;3414614;0;0;650;19.8;1;Control;NA;NA;Male;5.89975277063854;NA;26.7629964896977;NA
NA;17/06/2016;2016;3414614;0;0;660;26.9;2;Control;0.00152674721307884;10;Male;-64.1991002339194;-70.0988530045579;36.5926108219788;31.6778036558382
NA;03/06/2016;2016;3414627;0;0;305;5.5;1;Control;NA;NA;Female;-30.0757165717045;NA;9.46309465565075;NA
NA;24/06/2016;2016;3414627;4;1;780;24.1;2;Control;0.0447134353845822;21;Female;-19.8320500982693;10.2436664734352;31.4541197967949;20.4586072262228
NA;03/06/2016;2016;3414628;0;0;445;9.8;1;Control;NA;NA;Male;-15.2708255526083;NA;16.5630301720113;NA
NA;24/06/2016;2016;3414628;3;1;735;26.9;2;Control;0.0238950579545998;21;Male;10.8008997660806;26.0717253186889;36.5926108219788;26.577820496995
NA;03/06/2016;2016;3414636;0;0;355;7.2;1;Control;NA;NA;Male;-24.6865844787346;NA;13.1426951173687;NA
NA;28/06/2016;2016;3414636;0;0;780;29.2;2;Control;0.0314870452083289;25;Male;34.3565364527112;59.0431209314458;40.4376261627459;26.7901606400573
NA;03/06/2016;2016;3414637;0;0;320;5.7;1;Control;NA;NA;Female;-26.3113256553871;NA;9.82643147909934;NA
NA;28/06/2016;2016;3414637;1;1;970;28.6;2;Control;0.0443590030281463;25;Female;116.316270901249;142.627596556636;38.5612453090653;24.1938383940823
NA;03/06/2016;2016;3414640;1;1;630;14.7;1;Control;NA;NA;Female;-14.3230154603941;NA;20.6829280573237;NA
NA;20/06/2016;2016;3414640;NA;NA;695;26.8;2;Control;0.00577600153995375;17;Female;-138.235574867188;-123.912559406794;35.5795888119811;28.1312584346524
NA;04/06/2016;2016;3414641;3;1;595;14.5;1;Control;NA;NA;Female;-45.0138574963112;NA;20.4923271010613;NA
NA;20/06/2016;2016;3414641;3;1;800;28.2;2;Control;0.0185031451326436;16;Female;-49.2531824448449;-4.23932494853375;37.8856888888866;29.1890079949739
NA;04/06/2016;2016;3414644;1;1;535;12.1;1;Control;NA;NA;Female;-48.0957119028501;NA;18.1707090237445;NA
NA;22/06/2016;2016;3414644;4;1;725;27.4;2;Control;0.0168836059977038;18;Female;-115.200367400999;-67.1046554981485;36.55588883317;27.3632989284572
NA;05/06/2016;2016;3414650;0;0;380;8.5;1;Control;NA;NA;Male;-43.072012126199;NA;14.9645760546805;NA
NA;28/06/2016;2016;3414650;1;1;665;27.8;2;Control;0.0243311212145836;23;Male;-67.801092610666;-24.729080484467;38.0686755255594;26.51662579012
NA;03/06/2016;2016;3414672;0;0;290;5.8;1;Control;NA;NA;Female;-61.7821350650492;NA;10.0048053346587;NA
NA;28/06/2016;2016;3414672;1;1;830;28.3;2;Control;0.042061791112405;25;Female;-20.3666831197227;41.4154519453265;38.0539581559788;24.0293817453188
NA;03/06/2016;2016;3414673;0;0;215;4.7;1;Control;NA;NA;Female;-70.6308516352661;NA;7.9168761208368;NA
NA;28/06/2016;2016;3414673;1;1;780;26.9;2;Control;0.051546235662239;25;Female;-54.4071352984718;16.2237163367943;35.7409582917999;21.8289172063183
NA;03/06/2016;2016;3414677;0;0;440;9.2;1;Control;NA;NA;Male;-3.75703578289307;NA;15.8491481109235;NA
NA;23/06/2016;2016;3414677;1;1;830;27.1;2;Control;0.0317325486939168;20;Male;103.864732392882;107.621768175775;36.9169908837427;26.3830694973331
NA;03/06/2016;2016;3414680;0;0;295;7;1;Control;NA;NA;Male;-77.3232412119692;NA;12.8385270232263;NA
NA;23/06/2016;2016;3414680;0;0;635;24.1;2;Control;0.0383324821276436;20;Male;-60.4695084058114;16.8537328061577;32.3057723269737;22.5721496751
NA;03/06/2016;2016;3414681;0;0;405;7.8;1;Control;NA;NA;Male;4.3917405127674;NA;14.0153194260709;NA
NA;23/06/2016;2016;3414681;0;0;745;24.9;2;Control;0.030474857563651;20;Male;40.9948302667474;36.60308975398;33.4788185000151;23.747068963043
NA;04/06/2016;2016;3414706;0;0;560;10.5;1;Control;NA;NA;Female;21.5189066916146;NA;16.5004839091375;NA
NA;22/06/2016;2016;3414706;NA;NA;880;25.9;2;Control;0.0251102846523921;18;Female;57.5095780224822;35.9906713308676;34.1532162216726;25.326850065405
NA;04/06/2016;2016;3414707;0;0;640;11.4;1;Control;NA;NA;Female;75.6497934508518;NA;17.4589031304003;NA
NA;22/06/2016;2016;3414707;0;0;870;25.7;2;Control;0.0170569464052729;18;Female;49.9480678476339;-25.7017256032179;33.842884994174;25.6508940622871
NA;05/06/2016;2016;3414718;0;0;470;9.1;1;Control;NA;NA;Female;-23.4667750258528;NA;14.8747259136031;NA
NA;23/06/2016;2016;3414718;3;1;845;24.3;2;Control;0.032589107369615;18;Female;42.5682358303982;66.0350108562509;31.7432784909062;23.3090022022546
NA;05/06/2016;2016;3414719;3;1;580;12.1;1;Control;NA;NA;Male;64.6239460171644;NA;19.0223615539233;NA
NA;23/06/2016;2016;3414719;4;1;760;26.4;2;Control;0.0150161294299951;18;Male;40.7050098571967;-23.9189361599676;35.7914126873075;27.4068871206154
NA;05/06/2016;2016;3414720;0;0;370;6.3;1;Control;NA;NA;Female;-7.79393989918009;NA;10.865065820603;NA
NA;29/06/2016;2016;3414720;1;1;880;27.4;2;Control;0.0361007875764159;24;Female;39.7996325990014;47.5935724981815;36.55588883317;23.7104773268865
NA;05/06/2016;2016;3414721;0;0;300;5.4;1;Control;NA;NA;Female;-29.3037452317272;NA;9.27806396777773;NA
NA;29/06/2016;2016;3414721;1;1;765;26.9;2;Control;0.0390038899654306;24;Female;-69.4071352984718;-40.1033900667446;35.7409582917999;22.5095111297888
NA;09/06/2016;2016;3414729;1;1;725;15.6;1;Control;NA;NA;Female;61.984538747839;NA;21.5449707289783;NA
NA;22/06/2016;2016;3414729;3;1;745;25.6;2;Control;0.00209327411729883;13;Female;-73.8255617406012;-135.81010048844;33.6886615040192;27.6168161164987
NA;09/06/2016;2016;3414730;1;1;565;15.1;1;Control;NA;NA;Male;-8.26923505348896;NA;21.9165243150605;NA
NA;21/06/2016;2016;3414730;4;1;655;24;2;Control;0.0123174587074009;12;Male;-39.3826818910566;-31.1134468375676;32.1622313819997;27.0393778485301
NA;09/06/2016;2016;3414735;3;1;615;17.9;1;Control;NA;NA;Male;-2.73177142194186;NA;24.6907819493241;NA
NA;21/06/2016;2016;3414735;0;0;680;27.9;2;Control;0.00837254419696954;12;Male;-53.7396264743738;-51.007855052432;38.2351600891744;31.4629710192492
NA;09/06/2016;2016;3414736;4;1;610;14;1;Control;NA;NA;Male;56.5009781800188;NA;20.8675144796739;NA
NA;21/06/2016;2016;3414736;1;1;715;23.1;2;Control;0.0132352987938876;12;Male;30.6076322337015;-25.8933459463174;30.9018638625253;25.8846891710996
NA;09/06/2016;2016;3414737;3;1;440;8.3;1;Control;NA;NA;Male;23.1516485693299;NA;14.7003844995913;NA
NA;21/06/2016;2016;3414737;2;1;765;19.4;2;Control;0.0460917589095191;12;Male;126.234252214358;103.082603645028;26.3099232113073;20.5051538554493
NA;05/06/2016;2016;3414751;0;0;440;9.4;1;Control;NA;NA;Male;-9.37835781680297;NA;16.0913335925806;NA
NA;28/06/2016;2016;3414751;1;1;750;29.3;2;Control;0.0231868904181761;23;Male;3.46292395765795;12.8412817744609;40.6095941663924;28.3504638794865
NA;05/06/2016;2016;3414752;0;0;440;7.8;1;Control;NA;NA;Male;39.3917405127674;NA;14.0153194260709;NA
NA;24/06/2016;2016;3414752;3;1;780;25.2;2;Control;0.0301325890932279;19;Male;72.8644766817461;33.4727361689787;33.9298249730253;23.9725721995481
NA;05/06/2016;2016;3414753;0;0;300;7.1;1;Control;NA;NA;Female;-115.398494306944;NA;12.139825048259;NA
NA;21/06/2016;2016;3414753;1;1;700;21.8;2;Control;0.0529561162742002;16;Female;-68.2807313413305;47.1177629656136;28.330566562606;20.2351958054325
NA;05/06/2016;2016;3414754;2;1;410;8.9;1;Control;NA;NA;Male;-25.0916654142709;NA;15.4773507269562;NA
NA;21/06/2016;2016;3414754;2;1;655;24.3;2;Control;0.0292798797460562;16;Male;-42.6296975624455;-17.5380321481745;32.594931021085;24.0361408740206
1180;10/06/2016;2016;3414771;1;1;690;16.9;1;Control;NA;NA;Male;87.2942848962573;NA;23.6710475320114;NA
NA;21/06/2016;2016;3414771;1;1;770;25.7;2;Control;0.00997262884149314;11;Male;57.7291169956006;-29.5651679006567;34.6945375243529;29.1827925281822
1804;12/06/2016;2016;3414790;1;1;685;13.6;1;Control;NA;NA;Male;139.077781156657;NA;20.4852577598264;NA
1804;20/06/2016;2016;3414790;3;1;735;21.2;2;Control;0.00880645761882641;8;Male;73.0423731183553;-66.0354080383017;28.4283746250018;24.4568161924141
NA;17/06/2016;2016;3414821;1;1;710;15.7;1;Control;NA;NA;Female;44.9745407767477;NA;21.6414955011193;NA
NA;01/07/2016;2016;3414821;1;1;775;26.2;2;Control;0.006257004236999;14;Female;-51.1130755919373;-96.0876163686851;34.6233365722983;28.1324160367088
NA;17/06/2016;2016;3414822;0;0;490;13.3;1;Control;NA;NA;Female;-122.840401216601;NA;19.3455366379944;NA
NA;01/07/2016;2016;3414822;1;1;750;24.1;2;Control;0.0304048439589774;14;Female;-49.8320500982693;73.0083511183316;31.4541197967949;25.3998282173947
NA;19/06/2016;2016;3414828;0;0;575;15.8;1;Control;NA;NA;Female;-92.0226952164451;NA;21.7382221291194;NA
NA;01/07/2016;2016;3414828;NA;NA;885;26.4;2;Control;0.0359348003508816;12;Female;56.4947941562175;148.517489372663;34.9397601571287;28.338991143124
NA;21/06/2016;2016;3414832;3;1;590;23.6;1;Control;NA;NA;Male;-99.9896137719859;NA;31.5950412267736;NA
NA;28/06/2016;2016;3414832;1;1;615;29.9;2;Control;0.00592853298667898;7;Male;-136.835529093973;-36.8459153219876;41.6473473517218;36.6211942892477
342;26/05/2018;2018;3417993;0;0;405;8.1;1;Control;NA;NA;Female;-51.8483142537841;NA;13.5790359782611;NA
342;02/06/2018;2018;3417993;0;0;635;15.4;2;Control;0.0642482759694504;7;Female;-23.9565196174742;27.8917946363098;21.3524698632188;17.4657529207399
1374;26/05/2018;2018;3417994;2;1;625;14.9;1;Malarone;NA;NA;Female;-23.573939775551;NA;20.8737340497009;NA
1374;02/06/2018;2018;3417994;3;1;810;22;2;Malarone;0.037040371132869;7;Female;38.8465216407735;62.4204614163245;28.587389872578;24.7305619611394
243;26/05/2018;2018;3417995;0;0;410;6.6;1;Control;NA;NA;Female;17.5725559437398;NA;11.3571187786351;NA
243;02/06/2018;2018;3417995;0;0;620;15;2;Control;0.0590803311915405;7;Female;-30.6780520501379;-48.2506079938777;20.9692536527025;16.1631862156688
243;26/05/2018;2018;3417996;0;0;280;5.2;1;Control;NA;NA;Female;-37.4320113363431;NA;8.90110727061793;NA
243;02/06/2018;2018;3417996;0;0;510;11.8;2;Control;0.0856601603641603;7;Female;-65.1983026645917;-27.7662913282485;17.8686702916566;13.3848887811373
1697;26/05/2018;2018;3417998;0;0;435;8;1;Water;NA;NA;Female;-17.9406414905799;NA;13.4420520243036;NA
1697;10/06/2018;2018;3417998;3;1;710;21.7;2;Water;0.0326612625964451;15;Female;-56.8344593122988;-38.8938178217189;28.2031999266687;20.8226259754862
1697;26/05/2018;2018;3417999;0;0;410;7.5;1;Water;NA;NA;Male;19.6433054340997;NA;13.5862568943857;NA
1697;10/06/2018;2018;3417999;3;1;620;22.3;2;Water;0.0275708212227189;15;Male;-55.179734862558;-74.8230402966577;29.829529948588;21.7078934214869
1914;26/05/2018;2018;3418500;0;0;400;9.7;1;Control;NA;NA;Male;-57.5899671776301;NA;16.4466248966264;NA
1914;02/06/2018;2018;3418500;0;0;605;17.2;2;Control;0.0591091301318371;7;Male;-2.30491998445359;55.2850471931765;23.9727131475265;20.2096690220765
1914;26/05/2018;2018;3418502;0;0;350;6.1;1;Control;NA;NA;Female;-17.6458465475684;NA;10.5271508829416;NA
1914;02/06/2018;2018;3418502;0;0;475;13;2;Control;0.0436259499358831;7;Female;-130.663733767605;-113.017887220037;19.0557355580081;14.7914432204749
1959;26/05/2018;2018;3418503;0;0;570;10.4;1;Malarone;NA;NA;Female;34.529107769896;NA;16.3903359834888;NA
1959;03/06/2018;2018;3418503;0;0;815;18.4;2;Malarone;0.0446939690515334;8;Female;100.05645617594;65.5273484060444;24.3657450421619;20.3780405128254
1489;26/05/2018;2018;3418504;0;0;305;5.7;1;Control;NA;NA;Male;-13.6240075665093;NA;10.6780840092782;NA
1489;03/06/2018;2018;3418504;0;0;590;13.1;2;Control;0.0824763450365442;8;Male;53.8684913005716;67.4924988670809;20.0042124045417;15.34114820691
1837;27/05/2018;2018;3418507;1;1;540;12.9;1;Malarone;NA;NA;Male;7.88982292898822;NA;19.8103141922777;NA
1837;02/06/2018;2018;3418507;1;1;720;18.6;2;Malarone;0.0479470120752968;6;Male;92.2414112201966;84.3515882912084;25.4315536847168;22.6209339384972
1837;27/05/2018;2018;3418508;1;1;515;11.8;1;Malarone;NA;NA;Female;-60.1983026645917;NA;17.8686702916566;NA
1837;02/06/2018;2018;3418508;1;1;680;17.8;2;Malarone;0.046320982917736;6;Female;-24.5150657385027;35.683236926089;23.7352367045676;20.8019534981121
905;27/05/2018;2018;3418509;3;1;670;15.6;1;Malarone;NA;NA;Male;88.2159599047552;NA;22.3966232591571;NA
905;02/06/2018;2018;3418509;1;1;740;21.1;2;Malarone;0.0165620789688673;6;Male;79.2782212845534;-8.9377386202018;28.3051304455088;25.3508768523329
2081;27/05/2018;2018;3418510;0;0;550;11.9;1;Malarone;NA;NA;Female;-27.8528636686015;NA;17.9698171668289;NA
2081;03/06/2018;2018;3418510;3;1;695;18.7;2;Malarone;0.0334276524768965;7;Female;-25.0309368477383;2.82192682086315;24.6877664697975;21.3287918183132
2081;27/05/2018;2018;3418511;0;0;450;10.2;1;Malarone;NA;NA;Male;-20.7274759299012;NA;17.0192103220297;NA
2081;03/06/2018;2018;3418511;3;1;505;16.9;2;Malarone;0.0164729780729992;7;Male;-97.7057151037427;-76.9782391738415;23.6710475320114;20.3451289270206
2081;27/05/2018;2018;3418512;0;0;335;7.1;1;Malarone;NA;NA;Male;-41.0308409676681;NA;12.9914775784379;NA
2081;03/06/2018;2018;3418512;0;0;460;14.3;2;Malarone;0.045299422522582;7;Male;-99.0408845432892;-58.0100435756211;21.1534538702027;17.0724657243203
1886;27/05/2018;2018;3418513;0;0;535;13;1;Control;NA;NA;Male;0.871423708457542;NA;19.907388088187;NA
1886;02/06/2018;2018;3418513;0;0;695;18.9;2;Control;0.0436075164447976;6;Male;63.0592195951881;62.1877958867306;25.7567656319634;22.8320768600752
1886;27/05/2018;2018;3418514;0;0;425;11.7;1;Control;NA;NA;Male;-81.5892971818029;NA;18.618679891457;NA
1886;02/06/2018;2018;3418514;1;1;660;17.6;2;Control;0.0733584443493424;6;Male;46.6860475517669;128.27534473357;24.380456480819;21.499568186138
1886;27/05/2018;2018;3418515;0;0;265;7.1;1;Control;NA;NA;Female;-150.398494306944;NA;12.139825048259;NA
1886;02/06/2018;2018;3418515;0;0;540;13.6;2;Control;0.11863988559535;6;Female;-79.8569808728528;70.5415134340913;19.6336052296476;15.8867151389533
1500;27/05/2018;2018;3418516;0;0;650;14;1;Control;NA;NA;Male;96.5009781800188;NA;20.8675144796739;NA
1500;02/06/2018;2018;3418516;3;1;735;19.1;2;Control;0.0204830227205256;6;Male;100.307811029435;3.80683284941665;25.9763199583187;23.4219172189963
2074;31/05/2018;2018;3418526;0;0;630;14.3;1;Malarone;NA;NA;Male;70.9591154567108;NA;21.1534538702027;NA
2074;07/06/2018;2018;3418526;0;0;775;20.7;2;Malarone;0.0295918871382527;7;Male;119.280888827966;48.3217733712554;27.818880000325;24.4861669352639
2074;31/05/2018;2018;3418527;0;0;580;13.9;1;Malarone;NA;NA;Male;28.374687997346;NA;20.772092899238;NA
2074;07/06/2018;2018;3418527;0;0;690;20.3;2;Malarone;0.0248090705786914;7;Male;39.3811755318097;11.0064875344638;27.3431978583026;24.0576453787703
2074;31/05/2018;2018;3418528;0;0;450;9.8;1;Control;NA;NA;Male;-10.2708255526083;NA;16.5630301720113;NA
2074;07/06/2018;2018;3418528;0;0;580;16.1;2;Control;0.0362543601108714;7;Male;-10.0301940144002;0.240631538208106;22.8814044730582;19.7222173225347
1152;31/05/2018;2018;3418535;0;0;615;14.6;1;Control;NA;NA;Female;-27.1758152311909;NA;20.5876099912759;NA
1152;09/06/2018;2018;3418535;0;0;865;21.8;2;Control;0.0379008043472624;9;Female;96.7192686586695;123.89508388986;28.330566562606;24.459088276941
1152;31/05/2018;2018;3418536;0;0;395;10.1;1;Control;NA;NA;Female;-131.263495043703;NA;16.0548782193086;NA
1152;09/06/2018;2018;3418536;0;0;800;18.1;2;Control;0.0784139958629784;9;Female;90.2274813141885;221.490976357892;24.0483168423552;20.0515975308319
1416;09/06/2018;2018;3418551;0;0;610;10.7;1;Control;NA;NA;Female;65.5835681123453;NA;16.7184192173195;NA
1416;15/06/2018;2018;3418551;0;0;735;17.3;2;Control;0.0310685903409133;6;Female;39.4474667944096;-26.1361013179358;23.2223826747099;19.9704009460147
1416;09/06/2018;2018;3418552;0;0;400;7.8;1;Control;NA;NA;Male;-0.608259487232601;NA;14.0153194260709;NA
1416;15/06/2018;2018;3418552;0;0;320;11.6;2;Control;-0.0371905918857016;6;Male;-184.345666236683;-183.73740674945;18.5165190929656;16.2659192595183
407;09/06/2018;2018;3418553;0;0;590;13.3;1;Control;NA;NA;Female;-22.8404012166009;NA;19.3455366379944;NA
407;15/06/2018;2018;3418553;0;0;800;19.3;2;Control;0.0507481984613604;6;Female;70.0346497695944;92.8750509861952;25.3464903373312;22.3460134876628
407;09/06/2018;2018;3418554;0;0;665;14;1;Control;NA;NA;Female;36.0245948199104;NA;20.015861949495;NA
407;15/06/2018;2018;3418554;0;0;750;19.6;2;Control;0.020047694312417;6;Female;15.1826726679017;-20.8419221520087;25.6836037743858;22.8497328619404
2092;09/06/2018;2018;3418555;2;1;735;15;1;Control;NA;NA;Female;84.3219479498621;NA;20.9692536527025;NA
2092;16/06/2018;2018;3418555;0;0;720;20.6;2;Control;-0.00294561245753367;7;Female;-30.470487526846;-114.792435476708;26.8473269810736;23.9082903168881
1532;09/06/2018;2018;3418556;1;1;665;16.9;1;Control;NA;NA;Male;62.2942848962573;NA;23.6710475320114;NA
1532;16/06/2018;2018;3418556;1;1;675;22.8;2;Control;0.0021322357452394;7;Male;-5.9755687825334;-68.2698536787907;30.4944356529381;27.0827415924748
1532;09/06/2018;2018;3418557;0;0;660;16.6;1;Control;NA;NA;Male;61.9758679613178;NA;23.3725906463502;NA
1532;16/06/2018;2018;3418557;0;0;590;21.1;2;Control;-0.0160167568743866;7;Male;-70.7217787154466;-132.697646676764;28.3051304455088;25.8388605459295
1532;09/06/2018;2018;3418558;0;0;570;14;1;Control;NA;NA;Female;-58.9754051800896;NA;20.015861949495;NA
1532;16/06/2018;2018;3418558;3;1;765;20.5;2;Control;0.0420342104282771;7;Female;16.0602386674111;75.0356438475008;26.7280828768945;23.3719724131947
16181;09/06/2018;2018;3418564;1;1;755;16.6;1;Control;NA;NA;Female;72.4401412512439;NA;22.5209381161714;NA
16181;15/06/2018;2018;3418564;0;0;890;23.4;2;Control;0.0274172855795268;6;Female;99.4399697257822;26.9998284745384;30.4640021898015;26.4924701529864
16181;09/06/2018;2018;3418565;0;0;675;17.4;1;Control;NA;NA;Male;64.6732960687468;NA;24.1757592500708;NA
16181;15/06/2018;2018;3418565;0;0;785;23.5;2;Control;0.0251618378183131;6;Male;96.1202876843167;31.4469916155699;31.4549960518575;27.8153776509642
16181;09/06/2018;2018;3418566;0;0;585;14.8;1;Control;NA;NA;Male;16.9760526755815;NA;21.6299499615509;NA
16181;15/06/2018;2018;3418566;0;0;720;20.7;2;Control;0.0346065607963741;6;Male;64.2808888279662;47.3048361523847;27.818880000325;24.724414980938
1043;09/06/2018;2018;3418567;0;0;570;12.3;1;Control;NA;NA;Male;50.3389090631827;NA;19.2215260477066;NA
1043;15/06/2018;2018;3418567;0;0;650;19.3;2;Control;0.0218893336768478;6;Male;12.5850634906271;-37.7538455725555;26.1981428675101;22.7098344576083
1043;09/06/2018;2018;3418568;0;0;400;9.3;1;Control;NA;NA;Male;-46.5828081717913;NA;15.9707909238244;NA
1043;15/06/2018;2018;3418568;4;1;470;15.2;2;Control;0.0268780245993537;6;Male;-104.994531087963;-58.4117229161719;22.0122563250345;18.9915236244294
1995;09/06/2018;2018;3418569;2;1;560;11.6;1;Control;NA;NA;Female;-9.82101595881022;NA;17.6648665627868;NA
1995;15/06/2018;2018;3418569;3;1;825;23.1;2;Control;0.064574433767581;6;Female;38.498911360469;48.3199273192793;30.0502113323464;23.8575389475666
1995;09/06/2018;2018;3418570;0;0;320;6.8;1;Control;NA;NA;Male;-44.7464382353309;NA;12.5273025895843;NA
1995;15/06/2018;2018;3418570;4;1;485;13;2;Control;0.0693046491906185;6;Male;-49.1285762915425;-4.38213805621155;19.907388088187;16.2173453388857
1339;27/05/2018;2018;3418571;0;0;510;9.3;1;Control;NA;NA;Female;9.69461624891511;NA;15.1191383936455;NA
1339;03/06/2018;2018;3418571;3;1;545;16.3;2;Control;0.00948215270641037;7;Female;-131.822977331531;-141.517593580446;22.2253654600912;18.6722519268683
1339;27/05/2018;2018;3418572;3;1;610;12.2;1;Control;NA;NA;Male;92.4726466284153;NA;19.1221491820423;NA
1339;03/06/2018;2018;3418572;3;1;750;18.9;2;Control;0.0295163213375713;7;Male;118.059219595188;25.5865729667728;25.7567656319634;22.4394574070028
1339;27/05/2018;2018;3418573;0;0;290;5.5;1;Control;NA;NA;Female;-45.0757165717045;NA;9.46309465565075;NA
1339;03/06/2018;2018;3418573;0;0;260;8.9;2;Control;-0.0155998988521417;7;Female;-226.476184844742;-181.400468273037;14.6256981967773;12.044396426214
2106;27/05/2018;2018;3418574;0;0;380;6.3;1;Control;NA;NA;Female;2.20606010081991;NA;10.865065820603;NA
2106;03/06/2018;2018;3418574;0;0;585;13.2;2;Control;0.0616343706444893;7;Female;-25.4663249500213;-27.6723850508412;19.2491538775313;15.0571098490672
2140;27/05/2018;2018;3418577;0;0;845;17;1;Control;NA;NA;Female;154.950177589646;NA;22.9195781138311;NA
2140;03/06/2018;2018;3418577;0;0;985;23.2;2;Control;0.0219007162592736;7;Female;197.140103147429;42.1899255577825;30.1874352830286;26.5535066984298
O18;27/05/2018;2018;3418578;0;0;580;10.5;1;Malarone;NA;NA;Female;41.5189066916146;NA;16.5004839091375;NA
O18;03/06/2018;2018;3418578;0;0;560;16.2;2;Malarone;-0.00501304568732429;7;Female;-114.887195147545;-156.40610183916;22.1274238094828;19.3139538593101
1401;27/05/2018;2018;3418579;0;0;580;13.5;1;Control;NA;NA;Male;36.0068039358271;NA;20.3893962634695;NA
1401;03/06/2018;2018;3418579;0;0;745;20.9;2;Control;0.0357651592627278;7;Male;86.767586769422;50.7607828335949;28.0606674529174;24.2250318581934
1401;27/05/2018;2018;3418580;0;0;530;10.6;1;Control;NA;NA;Female;-11.4627612457168;NA;16.6098369325618;NA
1401;03/06/2018;2018;3418580;0;0;800;18.7;2;Control;0.0588192458745371;7;Female;79.9690631522617;91.4318243979785;24.6877664697975;20.6488017011796
O18;27/05/2018;2018;3418581;3;1;390;8.1;1;Malarone;NA;NA;Female;-66.8483142537841;NA;13.5790359782611;NA
O18;03/06/2018;2018;3418581;2;1;715;17.7;2;Malarone;0.0865908290814736;7;Female;12.2571283133516;79.1054425671356;23.6317982349503;18.6054171066057
1543;31/05/2018;2018;3418582;0;0;410;9.4;1;Control;NA;NA;Male;-39.378357816803;NA;16.0913335925806;NA
1543;07/06/2018;2018;3418582;0;0;490;15.6;2;Control;0.0254640330580455;7;Male;-91.7840400952448;-52.4056822784418;22.3966232591571;19.2439784258689
2018;31/05/2018;2018;3418591;0;0;740;16.5;1;Control;NA;NA;Female;59.3408335124777;NA;22.4221099093003;NA
2018;08/06/2018;2018;3418591;3;1;865;24.3;2;Control;0.019509915091708;8;Female;62.5682358303982;3.22740231792045;31.7432784909062;27.0826942001032
2018;31/05/2018;2018;3418592;3;1;835;17.5;1;Control;NA;NA;Female;135.831753282409;NA;23.4262435960968;NA
2018;08/06/2018;2018;3418592;1;1;925;25.3;2;Control;0.0127952515826962;8;Female;109.882500201055;-25.9492530813545;33.2298239258439;28.3280337609703
2159;01/06/2018;2018;3418595;0;0;280;13.8;1;Control;NA;NA;Male;-269.738073477463;NA;20.6765880846114;NA
2159;09/06/2018;2018;3418595;0;0;745;21.1;2;Control;0.122324326901289;8;Male;84.2782212845534;354.016294762017;28.3051304455088;24.4908592650601
1914;26/05/2018;2018;3418601;0;0;280;5;1;Control;NA;NA;Male;-4.37565687133008;NA;9.36637936424198;NA
1914;02/06/2018;2018;3418601;0;0;415;11;2;Control;0.0562127024373498;7;Male;-75.463745731089;-71.0880888597589;17.891432867033;13.6289061156375
2087;02/06/2018;2018;3418602;0;0;230;4.9;1;Control;NA;NA;Male;-49.0950449445962;NA;9.16956826754684;NA
2087;09/06/2018;2018;3418602;0;0;535;10.7;2;Control;0.120598205424687;7;Male;51.7638502460958;100.858895190692;17.5700717474983;13.3698200075226
2106;27/05/2018;2018;3418603;NA;NA;160;3.9;1;Control;NA;NA;Male;-59.4324788792205;NA;7.06022495831586;NA
2106;03/06/2018;2018;3418603;0;0;355;8.1;2;Control;0.11384913917737;7;Male;-55.4728792598631;3.95959961935739;14.43068850844;10.7454567333779
2123;09/06/2018;2018;3418604;0;0;500;12.2;1;Water;NA;NA;Male;-17.5273533715847;NA;19.1221491820423;NA
2123;15/06/2018;2018;3418604;1;1;630;18.3;2;Water;0.0385186201605644;6;Male;6.49160893384487;24.0189623054296;25.1110895942319;22.1166193881371
527;09/06/2018;2018;3418605;0;0;505;9.3;1;Control;NA;NA;Female;4.69461624891511;NA;15.1191383936455;NA
527;28/06/2018;2018;3418605;1;1;960;27;2;Control;0.0338092029045538;19;Female;124.42565144325;119.731035194334;35.9028774596617;25.5110079266536
869;09/06/2018;2018;3418617;0;0;535;13.1;1;Water;NA;NA;Male;-1.13150869942842;NA;20.0042124045417;NA
869;16/06/2018;2018;3418617;0;0;675;19.5;2;Water;0.0332065634252176;7;Male;34.8903860138871;36.0218947133155;26.422292113804;23.2132522591729
869;09/06/2018;2018;3418618;0;0;725;15.6;1;Water;NA;NA;Female;61.984538747839;NA;21.5449707289783;NA
869;16/06/2018;2018;3418618;3;1;820;21.9;2;Water;0.0175903836290891;7;Female;50.2796157467524;-11.7049230010866;28.4586292018215;25.0017999653999
2162;10/06/2018;2018;3418623;0;0;675;17.2;1;Control;NA;NA;Male;67.6950800155464;NA;23.9727131475265;NA
2162;16/06/2018;2018;3418623;1;1;825;22.9;2;Control;0.0334451159103585;6;Male;142.880528296717;75.1854482811709;30.6295375579465;27.3011253527365
1203;11/06/2018;2018;3418632;0;0;520;15;1;Water;NA;NA;Male;-51.5324751739126;NA;21.8209061828814;NA
1203;16/06/2018;2018;3418632;3;1;680;19.5;2;Water;0.0536527973189359;5;Male;39.8903860138871;91.4228611877998;26.422292113804;24.1215991483427
1203;11/06/2018;2018;3418633;0;0;380;10.3;1;Water;NA;NA;Male;-93.2775585978374;NA;17.1310213263497;NA
